연월,이벤트명,유형,방향,설명
201304,4.1 부동산 대책,supply,1,양도세 한시 면제 + 생애최초 취득세 면제로 거래 활성화
201309,8.28 전월세 대책,regulation,1,전세자금대출 한도 확대 + 월세 세액공제 도입
201401,LTV·DTI 완화,finance,1,LTV 70%·DTI 60%로 전면 완화 (9.1 대책 일환)
201409,9.1 부동산 대책,finance,1,재건축 연한 단축 + 청약 규제 완화
201503,가계부채 관리방안,finance,-1,여신심사 가이드라인 강화 (분할상환 유도)
201611,11.3 부동산 대책,regulation,-1,서울·경기 일부 청약조정대상지역 지정 (첫 규제지역)
201706,6.19 부동산 대책,regulation,-1,조정대상지역 확대 + 다주택자 양도세 강화
201708,8.2 부동산 대책,regulation,-1,투기지역·투기과열지구 지정 + LTV 40%·DTI 40% 강화
201809,9.13 부동산 대책,tax,-1,종부세 강화 + 다주택자 대출 전면 금지 + 공시가격 현실화
201812,수도권 공급 확대,supply,1,3기 신도시 발표 (남양주왕숙·하남교산·인천계양 등)
191212,12.16 부동산 대책,finance,-1,15억 초과 아파트 주담대 금지 + 종부세 추가 강화
202002,2.20 부동산 대책,regulation,-1,조정대상지역 추가 확대
202006,6.17 부동산 대책,regulation,-1,투기과열지구 전국 확대 + 갭투자 차단 (전세대출 규제)
202007,7.10 부동산 대책,tax,-1,다주택자 취득세 12% + 종부세 최고 6% + 양도세 중과
202007,임대차 3법 시행,regulation,-1,계약갱신청구권·전월세상한제(5%) 도입 → 전세시장 왜곡
202008,8.4 수도권 공급대책,supply,1,태릉·용산 등 서울 도심 공급 확대
202102,2.4 공급대책,supply,1,공공주도 재개발·재건축으로 83만호 공급 계획
202104,DSR 강화 1단계,finance,-1,DSR 40% 규제 고소득자 우선 적용
202108,LTV 강화,finance,-1,투기과열지구 LTV 40%·조정지역 50% 적용 강화
202201,가계부채 관리 강화,finance,-1,DSR 40% 전면 도입 (2금융권 포함)
202203,LTV 완화 (생애최초),finance,1,생애최초 주택구입 LTV 80%로 완화
202208,규제지역 해제 1차,regulation,1,인천·경기 일부 조정대상지역 해제
202211,규제지역 해제 2차,regulation,1,서울 강남3구·용산 제외 전면 해제
202301,특례보금자리론 출시,finance,1,최대 5억 저리 대출 (연 4%대) → 수요 자극
202309,스트레스 DSR 1단계,finance,-1,가산금리 0.38~0.75%p 추가 적용
202407,스트레스 DSR 2단계,finance,-1,수도권 은행권 가산금리 확대 적용
202409,스트레스 DSR 3단계,finance,-1,전 금융권 확대 적용
202502,토지거래허가구역 해제 (강남·잠실),regulation,1,잠실·삼성·대치·청담동 아파트 토지거래허가구역 해제 (오세훈 서울시장)
202503,토지거래허가구역 재지정 (강남3구+용산),regulation,-1,집값 급등·풍선효과로 강남3구·용산구 전체 토지거래허가구역 재지정
202506,6.27 부동산 대책,finance,-1,수도권 주담대 한도 최대 6억 제한 + 다주택자 주담대 전면 금지 + 전세대출 보증비율 80%로 축소
202507,스트레스 DSR 강화 (금리 1.5%),finance,-1,스트레스 금리 1.5%로 상향 + 전 금융권 신용대출 스트레스 DSR 적용
202510,10.15 부동산 대책,regulation,-1,서울 전역 + 경기 12곳 투기과열지구·조정대상지역 지정 + 스트레스 금리 3%로 대폭 강화
